[2025-03-02 22:44:51] Application started.
[2025-03-02 23:47:33] Pointer1 address: 0x000000005CFBF1E0
[2025-03-02 23:47:33] Pointer111 address: 0x000000005CFBF1E0
[2025-03-02 23:47:33] Pointer1 address: 0x000000005CFBF2A0
[2025-03-02 23:47:33] Pointer111 address: 0x000000005CFBF2A0
[2025-03-02 23:47:33] Pointer1 address: 0x000000007B2804E0
[2025-03-02 23:47:33] Pointer111 address: 0x000000007B2804E0
[2025-03-02 23:47:33] Pointer1 address: 0x000000005CFBF360
[2025-03-02 23:47:33] Pointer111 address: 0x000000005CFBF360
[2025-03-02 23:47:33] Pointer1 address: 0x000000007B283280
[2025-03-02 23:47:33] Pointer111 address: 0x000000007B283280
[2025-03-02 23:47:33] Pointer1 address: 0x000000007B2831E0
[2025-03-02 23:47:33] Pointer111 address: 0x000000007B2831E0
[2025-03-02 23:47:33] Pointer1 address: 0x000000007B283140
[2025-03-02 23:47:33] Pointer111 address: 0x000000007B283140
[2025-03-02 23:48:13] Application started.
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:48:16] Pointer111 address: 0x0000002D00000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CDD8A0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000A00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:48:16] Pointer111 address: 0x0000000B00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250F200
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000B00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:48:16] Pointer111 address: 0x0000001400000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:48:16] Pointer111 address: 0x0000003B00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000007B27F5E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000001400000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000004D9AAF0
[2025-03-02 23:48:16] Pointer111 address: 0x0000001C00000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000022510060
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x0000000022510340
[2025-03-02 23:48:16] Pointer111 address: 0x0000000000000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000005CFBF1E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000200000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000005CFBF2A0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000200000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000007B2804E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000000B00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000005CFBF360
[2025-03-02 23:48:16] Pointer111 address: 0x0000006800000001
